#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,,,,,,,,,,,,,,,,,,,,
,World,379458555,672399,5693849,2100,299451191,579907,74313515,92903,48681,731,,,,All,"
72,Dominican Republic,555245,,4307,,543755,,7183,203,50386,391,2952303,267906,11019919,North America,20,"2,559",4,,,652
,,,,,,,,,,,,,,,,,,,,,
73,Kuwait,545717,,2497,,491502,,51718,91,124866,571,6913124,1581804,4370404,Asia,8,"1,750",1,,,"11,834"
,,,,,,,,,,,,,,,,,,,,,
74,Myanmar,535532,,19310,,513273,,2949,,9739,351,6353638,115549,54986652,Asia,103,"2,848",9,,,54
,,,,,,,,,,,,,,,,,,,,,
75,Finland,493114,3244,1990,,46000,,445124,52,88780,358,9465956,1704247,5554335,Europe,11,"2,791",1,584,,"80,140"
,,,,,,,,,,,,,,,,,,,,,
76,Palestine,490415,,4835,,444719,,40861,75,92728,914,2958990,559488,5288742,Asia,11,"1,094",2,,,"7,726"
,,,,,,,,,,,,,,,,,,,,,
77,Venezuela,485974,,5447,,463648,,16879,230,17167,192,3359014,118658,28308484,South America,58,"5,197",8,,,596
,,,,,,,,,,,,,,,,,,,,,
78,Ethiopia,465158,,7337,,398445,,59376,272,3894,61,4346658,36385,119461300,Africa,257,"16,282",27,,,497
,,,,,,,,,,,,,,,,,,,,,
79,Mongolia,444588,1196,2113,4,313256,,129219,192,132250,629,4030048,1198801,3361732,Asia,8,"1,591",1,356,1,"38,438"
,,,,,,,,,,,,,,,,,,,,,
80,Moldova,440698,,10642,,382698,,47358,204,109650,2648,2742854,682449,4019132,Europe,9,378,1,,,"11,783"
,,,,,,,,,,,,,,,,,,,,,
81,Libya,433932,4266,6028,11,393298,841,34606,132,61822,859,2228533,317500,7019001,Africa,16,"1,164",3,608,2,"4,930"
,,,,,,,,,,,,,,,,,,,,,
82,Egypt,425911,,22635,,358165,,45111,122,4041,215,3693367,35047,105384390,Africa,247,"4,656",29,,,428
,,,,,,,,,,,,,,,,,,,,,
83,Latvia,392764,,4873,,299064,,88827,76,211937,2629,6102410,3292892,1853207,Europe,5,380,0,,,"47,932"
,,,,,,,,,,,,,,,,,,,,,
84,Honduras,391874,,10504,,127038,,254332,105,38595,1035,1189896,117190,10153593,North America,26,967,9,,,"25,048"
,,,,,,,,,,,,,,,,,,,,,
85,Bahrain,374575,,1408,,328998,,44169,14,208686,784,8780381,4891798,1794919,Asia,5,"1,275",0,,,"24,608"
,,,,,,,,,,,,,,,,,,,,,
86,Armenia,370922,3127,8056,3,336079,74,26787,,124805,2711,2734878,920213,2972004,Asia,8,369,1,"1,052",1,"9,013"
,,,,,,,,,,,,,,,,,,,,,
87,Singapore,352811,,855,,332525,,19431,7,59565,144,22660836,3825839,5923103,Asia,17,"6,928",0,,,"3,281"
,,,,,,,,,,,,,,,,,,,,,
88,Bosnia and Herzegovina,347467,,14447,,192218,,140802,,106961,4447,1626705,500750,3248535,Europe,9,225,2,,,"43,343"
,,,,,,,,,,,,,,,,,,,,,
89,Estonia,344060,6520,2037,4,260540,1167,81483,18,259092,1534,2839512,2138274,1327946,Europe,4,652,0,"4,910",3,"61,360"
,,,,,,,,,,,,,,,,,,,,,
90,Oman,341708,2828,4148,2,316284,1134,21276,52,64331,781,25000000,4706552,5311744,Asia,16,"1,281",0,532,0.4,"4,005"
,,,,,,,,,,,,,,,,,,,,,
91,Qatar,340383,1236,647,2,318792,3023,20944,70,121227,230,3308709,1178397,2807805,Asia,8,"4,340",1,440,0.7,"7,459"
,,,,,,,,,,,,,,,,,,,,,
92,Kenya,321381,,5583,,294722,,21076,11,5776,100,3222886,57921,55642458,Africa,173,"9,966",17,,,379
,,,,,,,,,,,,,,,,,,,,,
93,Zambia,305557,510,3920,3,298346,374,3291,70,15917,204,3186024,165965,19196929,Africa,63,"4,897",6,27,0.2,171
,,,,,,,,,,,,,,,,,,,,,
94,North Macedonia,268901,,8409,,246864,,13628,,129078,4037,1788251,858399,2083239,Europe,8,248,1,,,"6,542"
,,,,,,,,,,,,,,,,,,,,,
95,Albania,258573,,3346,,236440,,18787,23,90006,1165,1637312,569931,2872826,Europe,11,859,2,,,"6,540"
,,,,,,,,,,,,,,,,,,,,,
96,Cyprus,256746,,733,,124370,,131643,60,210231,600,9477138,7760144,1221258,Asia,5,"1,666",0,,,"107,793"
,,,,,,,,,,,,,,,,,,,,,
97,Nigeria,253181,,3136,,229315,,20730,11,1182,15,4116369,19217,214209244,Africa,846,"68,307",52,,,97
,,,,,,,,,,,,,,,,,,,,,
98,Botswana,253036,,2581,,243798,,6657,1,104274,1064,2026898,835266,2426650,Africa,10,940,1,,,"2,743"
,,,,,,,,,,,,,,,,,,,,,
99,Algeria,252117,,6579,,167715,,77823,32,5590,146,230861,5119,45102387,Africa,179,"6,856",195,,,"1,725"
,,,,,,,,,,,,,,,,,,,,,
100,Zimbabwe,229666,,5338,,219414,,4914,12,15105,351,1986218,130630,15204934,Africa,66,"2,848",8,,,323
,,,,,,,,,,,,,,,,,,,,,
101,Uzbekistan,224023,1015,1568,4,210346,179,12109,23,6544,46,1377915,40248,34235954,Asia,153,"21,834",25,30,0.1,354
,,,,,,,,,,,,,,,,,,,,,
102,Mozambique,223827,,2173,,213368,,8286,13,6858,67,1223852,37498,32638140,Africa,146,"15,020",27,,,254
,,,,,,,,,,,,,,,,,,,,,
103,Montenegro,219775,,2564,,211003,,6208,60,349853,4082,1115271,1775366,628192,Europe,3,245,1,,,"9,882"
,,,,,,,,,,,,,,,,,,,,,
104,Kyrgyzstan,198518,202,2884,4,188143,547,7491,131,29655,431,1907195,284898,6694318,Asia,34,"2,321",4,30,0.6,"1,119"
,,,,,,,,,,,,,,,,,,,,,
105,Réunion,180531,,500,,108771,,71260,60,199390,552,1424291,1573077,905417,Africa,5,"1,811",1,,,"78,704"
,,,,,,,,,,,,,,,,,,,,,
106,Afghanistan,163555,629,7417,3,146608,31,9530,1124,4057,184,856750,21252,40313310,Asia,246,"5,435",47,16,0.07,236
,,,,,,,,,,,,,,,,,,,,,
107,Uganda,161862,90,3533,5,99297,8,59032,177,3371,74,2354936,49039,48021335,Africa,297,"13,592",20,2,0.1,"1,229"
,,,,,,,,,,,,,,,,,,,,,
108,Luxembourg,157985,,952,,120291,,36742,8,246054,1483,3980283,6199103,642074,Europe,4,674,0,,,"57,224"
,,,,,,,,,,,,,,,,,,,,,
109,Ghana,156920,,1395,,153649,,1876,5,4889,43,2241487,69833,32097715,Africa,205,"23,009",14,,,58
,,,,,,,,,,,,,,,,,,,,,
110,Namibia,155942,44,3969,2,145865,90,6108,9,59665,1519,922167,352831,2613623,Africa,17,659,3,17,0.8,"2,337"
,,,,,,,,,,,,,,,,,,,,,
111,Maldives,138880,,276,,120821,,17783,25,249969,497,2063440,3713962,555590,Asia,4,"2,013",0,,,"32,007"
,,,,,,,,,,,,,,,,,,,,,
112,El Salvador,135109,954,3899,,120327,243,10883,56,20665,596,1627890,248990,6537967,North America,48,"1,677",4,146,,"1,665"
,,,,,,,,,,,,,,,,,,,,,
113,Laos,134438,585,551,4,7660,,126227,,18064,74,968623,130148,7442446,Asia,55,"13,507",8,79,0.5,"16,960"
,,,,,,,,,,,,,,,,,,,,,
114,Rwanda,128891,,1440,,45522,,81929,4,9576,107,4504391,334667,13459327,Africa,104,"9,347",3,,,"6,087"
,,,,,,,,,,,,,,,,,,,,,
115,Jamaica,124512,,2658,,70003,,51851,25,41760,891,796809,267241,2981609,North America,24,"1,122",4,,,"17,390"
,,,,,,,,,,,,,,,,,,,,,
116,Cambodia,121390,35,3015,,117633,98,742,,7105,176,2799569,163864,17084736,Asia,141,"5,667",6,2,,43
,,,,,,,,,,,,,,,,,,,,,
117,Cameroon,116718,,1880,,106050,,8788,13,4231,68,1751774,63494,27589527,Africa,236,"14,675",16,,,319
,,,,,,,,,,,,,,,,,,,,,
118,Trinidad and Tobago,111549,,3404,,84292,,23853,22,79301,2420,556920,395918,1406656,North America,13,413,3,,,"16,957"
,,,,,,,,,,,,,,,,,,,,,
119,Guadeloupe,105319,,773,,2250,,102296,21,263145,1931,830521,2075099,400232,North America,4,518,0,,,"255,592"
,,,,,,,,,,,,,,,,,,,,,
120,Angola,98116,,1895,,94978,,1243,8,2846,55,1379936,40021,34480211,Africa,351,"18,195",25,,,36
,,,,,,,,,,,,,,,,,,,,,
121,DRC,85379,,1278,,50930,,33171,,910,14,846704,9021,93860019,Africa,"1,099","73,443",111,,,353
,,,,,,,,,,,,,,,,,,,,,
122,Senegal,85038,39,1949,3,80609,301,2480,11,4876,112,980580,56224,17440749,Africa,205,"8,949",18,2,0.2,142
,,,,,,,,,,,,,,,,,,,,,
123,Malawi,84475,,2561,,69332,,12582,67,4243,129,528593,26548,19910639,Africa,236,"7,775",38,,,632
,,,,,,,,,,,,,,,,,,,,,
124,Martinique,82813,,826,,104,,81883,33,220950,2204,602739,1608140,374805,North America,5,454,1,,,"218,468"
,,,,,,,,,,,,,,,,,,,,,
125,Ivory Coast,80718,,785,,77971,,1962,,2945,29,1358251,49553,27409968,Africa,340,"34,917",20,,,72
,,,,,,,,,,,,,,,,,,,,,
126,French Guiana,75713,,375,,11254,,64084,16,243522,1206,567130,1824109,310908,South America,4,829,1,,,"206,119"
,,,,,,,,,,,,,,,,,,,,,
127,Suriname,73769,418,1263,2,49272,17,23234,12,123993,2123,215889,362873,594944,South America,8,471,3,703,3,"39,052"
,,,,,,,,,,,,,,,,,,,,,
128,Iceland,69177,1421,46,,58314,1264,10817,3,200661,133,1606099,4658803,344745,Europe,5,"7,494",0,"4,122",,"31,377"
,,,,,,,,,,,,,,,,,,,,,
129,Eswatini,68367,,1375,,66765,,227,11,57980,1166,457170,387709,1179158,Africa,17,858,3,,,193
,,,,,,,,,,,,,,,,,,,,,
130,Malta,67966,249,551,1,64049,266,3366,5,153283,1243,1211456,2732178,443403,Europe,7,805,0,562,2,"7,591"
,,,,,,,,,,,,,,,,,,,,,
131,Fiji,62855,,801,,60496,,1558,,69321,883,492136,542766,906718,Australia/Oceania,14,"1,132",2,,,"1,718"
,,,,,,,,,,,,,,,,,,,,,
132,Guyana,59889,,1168,,47612,,11109,11,75564,1474,507444,640263,792555,South America,13,679,2,,,"14,017"
,,,,,,,,,,,,,,,,,,,,,
133,Madagascar,59319,,1274,,53582,,4463,224,2059,44,370597,12861,28815300,Africa,486,"22,618",78,,,155
,,,,,,,,,,,,,,,,,,,,,
134,Mauritania,58243,,953,,54947,,2343,30,12027,197,686718,141806,4842669,Africa,83,"5,081",7,,,484
,,,,,,,,,,,,,,,,,,,,,
135,Sudan,57632,,3441,,40329,,13862,,1268,76,562941,12381,45466493,Africa,789,"13,213",81,,,305
,,,,,,,,,,,,,,,,,,,,,
136,Cabo Verde,55695,,396,,54761,,538,23,98482,700,400982,709031,565535,Africa,10,"1,428",1,,,951
,,,,,,,,,,,,,,,,,,,,,
137,Syria,51402,,2989,,38618,,9795,,2829,164,146269,8049,18172155,Asia,354,"6,080",124,,,539
,,,,,,,,,,,,,,,,,,,,,
138,Belize,50487,,625,,40691,,9171,4,123430,1528,456425,1115858,409035,North America,8,654,1,,,"22,421"
,,,,,,,,,,,,,,,,,,,,,
139,French Polynesia,48266,,636,,N/A,N/A,N/A,7,170265,2244,,,283476,Australia/Oceania,6,446,,,,"49,845"
,,,,,,,,,,,,,,,,,,,,,
140,Gabon,46925,,301,,42047,,4577,9,20325,130,1541274,667596,2308691,Africa,49,"7,670",1,,,"1,983"
,,,,,,,,,,,,,,,,,,,,,
141,Barbados,44430,,280,,33880,,10270,,154307,972,537026,1865114,287932,North America,6,"1,028",1,,,"35,668"
,,,,,,,,,,,,,,,,,,,,,
142,Channel Islands,42052,,131,,38689,,3232,,238394,743,1184668,6715919,176397,Europe,4,"1,347",0,,,"18,322"
,,,,,,,,,,,,,,,,,,,,,
143,Burundi,37432,53,38,,773,,36621,,3007,3,345742,27771,12449903,Africa,333,"327,629",36,4,,"2,941"
,,,,,,,,,,,,,,,,,,,,,
144,Seychelles,37190,,154,,34710,,2326,,374484,1551,,,99310,Africa,3,645,,,,"23,422"
,,,,,,,,,,,,,,,,,,,,,
145,Curaçao,37128,,232,,35342,,1554,3,224808,1405,449273,2720328,165154,North America,4,712,0,,,"9,409"
,,,,,,,,,,,,,,,,,,,,,
146,Papua New Guinea,36866,,597,,35877,,392,7,4001,65,249149,27038,9214837,Australia/Oceania,250,"15,435",37,,,43
,,,,,,,,,,,,,,,,,,,,,
147,Togo,36491,,268,,32541,,3682,,4250,31,663091,77236,8585216,Africa,235,"32,034",13,,,429
,,,,,,,,,,,,,,,,,,,,,
148,Mayotte,36361,,187,,2964,,33210,,128388,660,176919,624688,283212,Africa,8,"1,515",2,,,"117,262"
,,,,,,,,,,,,,,,,,,,,,
149,Guinea,36166,,419,,32133,,3614,49,2641,31,582615,42541,13695318,Africa,379,"32,686",24,,,264
,,,,,,,,,,,,,,,,,,,,,
150,Andorra,35958,,145,,32097,,3716,14,464208,1872,249838,3225339,77461,Europe,2,534,0,,,"47,973"
,,,,,,,,,,,,,,,,,,,,,
151,Tanzania,33230,,789,,N/A,N/A,N/A,7,532,13,,,62420725,Africa,"1,878","79,114",,,,517
,,,,,,,,,,,,,,,,,,,,,
152,Aruba,33000,,193,,32513,,294,9,307025,1796,177885,1655006,107483,North America,3,557,1,,,"2,735"
,,,,,,,,,,,,,,,,,,,,,
